S.No.,State Code,State Name (In English),District Code,District Name (In English),Census 2001 Code,Census 2011 Code
604,33,Tamil Nadu,583,Ramanathapuram,27,626
605,33,Tamil Nadu,731,Ranipet,,000
606,33,Tamil Nadu,584,Salem,08,608
607,33,Tamil Nadu,585,Sivaganga,23,622
608,33,Tamil Nadu,733,Tenkasi,,000
609,33,Tamil Nadu,586,Thanjavur,21,620
610,33,Tamil Nadu,588,Theni,25,624
611,33,Tamil Nadu,587,The Nilgiris,11,611
612,33,Tamil Nadu,589,Thiruvallur,01,602
613,33,Tamil Nadu,590,Thiruvarur,20,619
614,33,Tamil Nadu,594,Thoothukkudi,28,627
615,33,Tamil Nadu,591,Tiruchirappalli,15,614
616,33,Tamil Nadu,592,Tirunelveli,29,628
617,33,Tamil Nadu,732,Tirupathur,,000
618,33,Tamil Nadu,634,Tiruppur,,633
619,33,Tamil Nadu,593,Tiruvannamalai,06,606
620,33,Tamil Nadu,595,Vellore,04,605
621,33,Tamil Nadu,596,Viluppuram,07,607
622,33,Tamil Nadu,597,Virudhunagar,26,625
623,36,Telangana,501,Adilabad,01,532
624,36,Telangana,690,Bhadradri Kothagudem,,000
625,36,Telangana,686,Hanumakonda,,000
626,36,Telangana,507,Hyderabad,05,536
627,36,Telangana,681,Jagitial,,000
628,36,Telangana,689,Jangoan,,000
629,36,Telangana,687,Jayashankar Bhupalapally,,000
630,36,Telangana,695,Jogulamba Gadwal,,000
631,36,Telangana,685,Kamareddy,,000
632,36,Telangana,508,Karimnagar,03,534
633,36,Telangana,509,Khammam,10,541
634,36,Telangana,699,Kumuram Bheem Asifabad,,000
635,36,Telangana,688,Mahabubabad,,000
636,36,Telangana,512,Mahabubnagar,07,538
637,36,Telangana,684,Mancherial,,000
638,36,Telangana,513,Medak,04,535
639,36,Telangana,700,Medchal Malkajgiri,,000
640,36,Telangana,720,Mulugu,,000
641,36,Telangana,694,Nagarkurnool,,000
642,36,Telangana,514,Nalgonda,08,539
643,36,Telangana,721,Narayanpet,,000
644,36,Telangana,680,Nirmal,,000
645,36,Telangana,516,Nizamabad,02,533
646,36,Telangana,682,Peddapalli,,000
647,36,Telangana,683,Rajanna Sircilla,,000
648,36,Telangana,518,Ranga Reddy,06,537
649,36,Telangana,691,Sangareddy,,000
650,36,Telangana,692,Siddipet,,000
651,36,Telangana,696,Suryapet,,000
652,36,Telangana,698,Vikarabad,,000
653,36,Telangana,693,Wanaparthy,,000
654,36,Telangana,522,Warangal,09,540
655,36,Telangana,697,Yadadri Bhuvanagiri,,000
656,38,The Dadra And Nagar Haveli And Daman And Diu,465,Dadra And Nagar Haveli,01,496
657,38,The Dadra And Nagar Haveli And Daman And Diu,463,Daman,02,495
658,38,The Dadra And Nagar Haveli And Daman And Diu,464,Diu,01,494
659,16,Tripura,269,Dhalai,03,291
660,16,Tripura,654,Gomati,,000
661,16,Tripura,652,Khowai,,000
662,16,Tripura,270,North Tripura,04,292
663,16,Tripura,653,Sepahijala,,000
664,16,Tripura,271,South Tripura,02,290
665,16,Tripura,655,Unakoti,,000
666,16,Tripura,272,West Tripura,01,289
667,5,Uttarakhand,45,Almora,09,064
668,5,Uttarakhand,46,Bageshwar,08,063
669,5,Uttarakhand,47,Chamoli,02,057
670,5,Uttarakhand,48,Champawat,10,065
671,5,Uttarakhand,49,Dehradun,05,060
672,5,Uttarakhand,50,Haridwar,13,068
673,5,Uttarakhand,51,Nainital,11,066
674,5,Uttarakhand,52,Pauri Garhwal,06,061
675,5,Uttarakhand,53,Pithoragarh,07,062
676,5,Uttarakhand,54,Rudraprayag,03,058
677,5,Uttarakhand,55,Tehri Garhwal,04,059
678,5,Uttarakhand,56,Udham Singh Nagar,12,067
679,5,Uttarakhand,57,Uttarkashi,01,056
680,9,Uttar Pradesh,118,Agra,15,146
681,9,Uttar Pradesh,119,Aligarh,12,143
682,9,Uttar Pradesh,121,Ambedkar Nagar,48,178
683,9,Uttar Pradesh,640,Amethi,,000
684,9,Uttar Pradesh,154,Amroha,06,137
685,9,Uttar Pradesh,122,Auraiya,32,162
686,9,Uttar Pradesh,140,Ayodhya,47,177
687,9,Uttar Pradesh,123,Azamgarh,61,191
688,9,Uttar Pradesh,124,Baghpat,08,139
689,9,Uttar Pradesh,125,Bahraich,50,180
690,9,Uttar Pradesh,126,Ballia,63,193
691,9,Uttar Pradesh,127,Balrampur,52,182
692,9,Uttar Pradesh,128,Banda,40,170
693,9,Uttar Pradesh,129,Bara Banki,46,176
694,9,Uttar Pradesh,130,Bareilly,20,150
695,9,Uttar Pradesh,131,Basti,55,185
696,9,Uttar Pradesh,179,Bhadohi,68,198
697,9,Uttar Pradesh,132,Bijnor,03,134
698,9,Uttar Pradesh,133,Budaun,19,149
699,9,Uttar Pradesh,134,Bulandshahr,11,142
700,9,Uttar Pradesh,135,Chandauli,66,196
701,9,Uttar Pradesh,136,Chitrakoot,41,171
702,9,Uttar Pradesh,137,Deoria,60,190
703,9,Uttar Pradesh,138,Etah,17,201
704,9,Uttar Pradesh,139,Etawah,31,161
705,9,Uttar Pradesh,141,Farrukhabad,29,159
706,9,Uttar Pradesh,142,Fatehpur,42,172
707,9,Uttar Pradesh,143,Firozabad,16,147
708,9,Uttar Pradesh,144,Gautam Buddha Nagar,10,141
709,9,Uttar Pradesh,145,Ghaziabad,09,140
710,9,Uttar Pradesh,146,Ghazipur,65,195
711,9,Uttar Pradesh,147,Gonda,53,183
712,9,Uttar Pradesh,148,Gorakhpur,58,188
713,9,Uttar Pradesh,149,Hamirpur,38,168
714,9,Uttar Pradesh,661,Hapur,,000
715,9,Uttar Pradesh,150,Hardoi,25,155
716,9,Uttar Pradesh,163,Hathras,13,144
717,9,Uttar Pradesh,151,Jalaun,35,165
718,9,Uttar Pradesh,152,Jaunpur,64,194
719,9,Uttar Pradesh,153,Jhansi,36,166
720,9,Uttar Pradesh,155,Kannauj,30,160
721,9,Uttar Pradesh,156,Kanpur Dehat,33,163
722,9,Uttar Pradesh,157,Kanpur Nagar,34,164
723,9,Uttar Pradesh,633,Kasganj,,202
724,9,Uttar Pradesh,158,Kaushambi,44,174
725,9,Uttar Pradesh,159,Kheri,23,153
726,9,Uttar Pradesh,160,Kushinagar,59,189
727,9,Uttar Pradesh,161,Lalitpur,37,167
728,9,Uttar Pradesh,162,Lucknow,27,157
729,9,Uttar Pradesh,165,Mahoba,39,169
730,9,Uttar Pradesh,164,Mahrajganj,57,187
731,9,Uttar Pradesh,166,Mainpuri,18,148
732,9,Uttar Pradesh,167,Mathura,14,145
733,9,Uttar Pradesh,168,Mau,62,192
734,9,Uttar Pradesh,169,Meerut,07,138
735,9,Uttar Pradesh,170,Mirzapur,69,199
736,9,Uttar Pradesh,171,Moradabad,04,135
737,9,Uttar Pradesh,172,Muzaffarnagar,02,133
738,9,Uttar Pradesh,173,Pilibhit,21,151
739,9,Uttar Pradesh,174,Pratapgarh,43,173
740,9,Uttar Pradesh,120,Prayagraj,45,175
741,9,Uttar Pradesh,175,Rae Bareli,28,158
742,9,Uttar Pradesh,176,Rampur,05,136
743,9,Uttar Pradesh,177,Saharanpur,01,132
744,9,Uttar Pradesh,659,Sambhal,,000
745,9,Uttar Pradesh,178,Sant Kabir Nagar,56,186
746,9,Uttar Pradesh,180,Shahjahanpur,22,152
747,9,Uttar Pradesh,660,Shamli,,000
748,9,Uttar Pradesh,181,Shrawasti,51,181
749,9,Uttar Pradesh,182,Siddharthnagar,54,184
750,9,Uttar Pradesh,183,Sitapur,24,154
751,9,Uttar Pradesh,184,Sonbhadra,70,200
752,9,Uttar Pradesh,185,Sultanpur,49,179
753,9,Uttar Pradesh,186,Unnao,26,156
754,9,Uttar Pradesh,187,Varanasi,67,197
755,19,West Bengal,664,Alipurduar,,000
756,19,West Bengal,305,Bankura,13,339
757,19,West Bengal,307,Birbhum,08,334
758,19,West Bengal,308,Cooch Behar,03,329
759,19,West Bengal,310,Dakshin Dinajpur,05,331
760,19,West Bengal,309,Darjeeling,01,327
761,19,West Bengal,312,Hooghly,12,338
762,19,West Bengal,313,Howrah,16,341
763,19,West Bengal,314,Jalpaiguri,02,328
764,19,West Bengal,703,Jhargram,,000
765,19,West Bengal,702,Kalimpong,,000
766,19,West Bengal,315,Kolkata,17,342
767,19,West Bengal,316,Malda,06,332
768,19,West Bengal,319,Murshidabad,07,333
769,19,West Bengal,320,Nadia,10,336
770,19,West Bengal,303,North 24 Parganas,11,337
771,19,West Bengal,704,Paschim Bardhaman,,000
772,19,West Bengal,318,Paschim Medinipur,15,344
773,19,West Bengal,306,Purba Bardhaman,09,335
774,19,West Bengal,317,Purba Medinipur,15,345
775,19,West Bengal,321,Purulia,14,340
776,19,West Bengal,304,South 24 Parganas,18,343
777,19,West Bengal,311,Uttar Dinajpur,04,330
